着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),date,race_type,course_ren,weather,ground_state,horse_id,jockey_id
202101010103,2,5,5,ファイヤービート,牡3,54.0,△泉谷,1:00.3,1.1/4,4.0,14.5,35.8,6-6,栗東茶木,450(+6),2021年6月12日,ダ,1000,曇,良,2018105166,01182
202101010103,3,8,12,ハクサンタマテバコ,牝3,54.0,丹内,1:00.5,1.1/4,2.0,8.2,37.0,1-1,美浦武藤,438(-8),2021年6月12日,ダ,1000,曇,良,2018102691,01091
202101010103,4,4,4,デイジームーン,牝3,54.0,菱田,1:00.6,クビ,7.0,24.7,35.9,7-7,栗東谷,430(-8),2021年6月12日,ダ,1000,曇,良,2018100708,01144
202101010103,5,1,1,ブリエヴェール,牡3,53.0,▲小林凌,1:00.6,アタマ,6.0,21.3,35.7,9-10,美浦小笠,460(-2),2021年6月12日,ダ,1000,曇,良,2018104849,01177
202101010103,6,6,8,ビトエノスター,牡3,56.0,横山武,1:00.9,1.3/4,3.0,10.9,35.9,10-8,美浦高柳瑞,434(+2),2021年6月12日,ダ,1000,曇,良,2018100066,01170
202101010103,7,7,9,スターリーソング,牝3,53.0,☆亀田,1:00.9,1/2,9.0,36.6,36.8,5-4,栗東高柳大,424(-2),2021年6月12日,ダ,1000,曇,良,2018103698,01176
202101010103,8,7,10,アクチュアリー,牝3,51.0,▲小沢,1:01.1,1.1/4,5.0,14.6,37.4,2-2,美浦武井,468(+4),2021年6月12日,ダ,1000,曇,良,2018102187,01185
202101010103,9,3,3,ベイビーアッシュ,牡3,52.0,★永島,1:01.2,1/2,8.0,32.6,35.9,11-10,栗東浅見,518(+2),2021年6月12日,ダ,1000,曇,良,2018106086,01187
202101010103,10,6,7,ボンラヴォーロ,牝3,52.0,△秋山稔,1:01.3,クビ,12.0,145.5,37.3,4-4,美浦菊川,432(-6),2021年6月12日,ダ,1000,曇,良,2018101887,01181
202101010103,11,2,2,ヒルノベルモンタ,セ3,56.0,古川吉,1:01.9,3.1/2,10.0,59.4,36.5,12-12,栗東昆,456(-18),2021年6月12日,ダ,1000,曇,良,2018102272,01015
202101010103,12,5,6,ヴィオマージュ,牡3,56.0,大野,1:02.3,2.1/2,1.0,1.3,37.7,7-8,美浦牧,484(-2),2021年6月12日,ダ,1000,曇,良,2018103483,01096
