,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
2017101248,2021/10/24,4阪神6,曇,9.0,北摂特別(2勝クラス),,13.0,3.0,3,14.1,6,4,横山武史,55,芝1200,良,**,1:08.6,0.3,**,2-2,33.7-34.6,34.8,484(0),,,スーパーウーパー,230.0,,,,,,
2017101248,2021/10/02,4中山8,晴,10.0,勝浦特別(2勝クラス),,16.0,1.0,1,36.5,12,2,柴田大知,55,芝1200,良,**,1:08.5,0.1,**,1-1,34.3-34.1,34.2,484(+8),,,サトノファビュラス,610.0,,,,,,
2017101248,2021/07/11,1函館4,曇,12.0,函館道新スポーツ杯(2勝クラス),,13.0,4.0,5,17.4,10,12,丹内祐次,55,芝1200,稍,**,1:11.0,1.7,**,3-4,34.0-35.3,36.7,476(-10),,,ゴールドチャリス,,,,,,,
2017101248,2021/06/27,1札幌6,晴,12.0,HBC賞(2勝クラス),,16.0,5.0,10,13.8,6,11,丹内祐次,53,芝1200,良,**,1:09.0,0.6,**,6-6,33.0-35.4,35.5,486(+4),,,キーダイヤ,,,,,,,
2017101248,2021/06/12,1札幌1,晴,11.0,大倉山特別(2勝クラス),,16.0,7.0,13,18.1,9,7,丹内祐次,55,芝1200,良,**,1:09.1,0.5,**,3-2,33.5-35.1,35.3,482(+10),,,ブラックダンサー,,,,,,,
2017101248,2020/12/27,5中山8,晴,12.0,ハッピーエンドC(2勝クラス),,16.0,3.0,5,31.3,11,9,丹内祐次,54,芝1200,良,**,1:10.7,1.0,**,3-3,33.8-35.9,36.6,472(-2),,,アルピニズム,,,,,,,
2017101248,2020/11/01,3福島2,曇,12.0,五色沼特別(2勝クラス),,16.0,1.0,1,5.2,2,7,丹内祐次,53,芝1200,良,**,1:09.2,0.5,**,4-2,33.8-34.9,35.1,474(0),,,センショウユウト,,,,,,,
2017101248,2020/08/23,2札幌4,晴,12.0,手稲山特別(2勝クラス),,15.0,2.0,3,10.1,4,2,丹内祐次,52,芝1200,良,**,1:09.0,0.2,**,1-1,33.6-35.2,35.4,474(0),,,メイショウミモザ,609.4,,,,,,
2017101248,2020/07/26,1札幌2,晴,10,知床特別(2勝クラス),,13,3,3,6.2,3,5,丹内祐次,52,芝1200,良,**,1:08.5,0.2,**,3-4,34.0-34.3,34.3,474(+2),,,ニシノドレッシー,150.0,,,,,,
2017101248,2020/06/27,1函館5,曇,9,3歳以上1勝クラス,,13,5,7,15.7,5,1,丹内祐次,52,芝1200,稍,**,1:09.1,0.0,**,1-1,33.9-35.2,35.2,472(-2),,,(シュルルヴァン),760.0,,,,,,
2017101248,2020/06/20,1函館3,晴,8.0,3歳以上1勝クラス,,11.0,4.0,4,7.3,4,9,丹内祐次,52,芝1200,良,**,1:09.3,0.6,**,5-4,33.7-35.0,35.2,474(+10),,,フクノナルボンヌ,,,,,,,
2017101248,2020/02/08,1小倉7,晴,10.0,かささぎ賞(1勝クラス),,15.0,3.0,5,6.9,4,10,丹内祐次,54,芝1200,良,**,1:09.3,0.6,**,1-2,33.7-35.0,35.6,464(-4),,,レジェーロ,,,,,,,
2017101248,2020/01/19,1小倉2,曇,4.0,3歳未勝利,,18.0,2.0,4,2.3,1,1,丹内祐次,54,芝1200,重,**,1:09.9,-0.6,**,1-1,33.7-36.2,36.2,468(0),,,(スターオブフォース),510.0,,,,,,
2017101248,2019/11/09,3福島3,晴,4.0,2歳未勝利,,16.0,8.0,15,9.3,6,2,丹内祐次,54,芝1200,良,**,1:10.2,0.0,**,1-2,34.7-35.5,35.5,468(0),,,シオミチクレバ,200.0,,,,,,
2017101248,2019/10/19,3新潟3,曇,5.0,2歳未勝利,,16.0,7.0,13,8.5,5,2,西村淳也,53,芝1200,良,**,1:11.1,0.1,**,2-2,35.0-36.0,36.0,468(0),,,チェアリングソング,200.0,,,,,,
2017101248,2019/09/14,4中山3,曇,3.0,2歳未勝利,,16.0,6.0,11,6.1,3,2,丹内祐次,54,芝1200,良,**,1:09.8,0.2,**,2-2,34.4-35.2,35.3,468(-6),,,エリーグランプリ,200.0,,,,,,
2017101248,2019/08/18,2新潟8,晴,3.0,2歳未勝利,,18.0,5.0,10,17.5,4,8,武藤雅,53,芝1400,良,**,1:23.4,0.9,**,2-2,34.6-35.8,36.7,474(+8),,,アルムブラスト,,,,,,,
2017101248,2019/07/28,2新潟2,曇,6.0,2歳新馬,,18.0,5.0,10,21.1,5,4,武藤雅,53,芝1400,良,**,1:23.3,0.3,**,8-8,34.6-36.4,35.8,466(0),,,シコウ,110.0,,,,,,
2017102946,2022/02/06,1中京12,曇,12.0,4歳以上2勝クラス,,16.0,6.0,12,6.1,4,1,川田将雅,57,芝1200,稍,**,1:08.9,0.0,**,7-7,33.6-35.3,34.3,498(-2),,,(カーフライターク),1110.0,,,,,,
2017102946,2022/01/16,1中山6,晴,12.0,4歳以上2勝クラス,,14.0,6.0,9,3.5,2,9,菅原明良,57,芝1200,良,**,1:09.8,0.4,**,12-12,34.3-35.1,34.3,500(-2),,,ショウナンバービー,,,,,,,
2017102946,2021/12/26,5中山8,晴,12.0,キャンドルライト賞(2勝クラス),,16.0,5.0,9,6.1,4,3,横山和生,57,芝1200,良,**,1:09.2,0.1,**,14-14,33.1-36.0,34.9,502(+14),,,コスモアンジュ,385.2,,,,,,
2017102946,2021/07/18,1函館6,晴,12.0,湯の川温泉特別(2勝クラス),,13.0,7.0,11,9.7,4,2,勝浦正樹,57,芝1200,良,**,1:09.6,0.2,**,8-9,34.1-35.3,34.4,488(-4),,,フォイアーロート,608.6,,,,,,
2017102946,2021/06/27,1札幌6,晴,12.0,HBC賞(2勝クラス),,16.0,6.0,11,17.9,9,4,勝浦正樹,55,芝1200,良,**,1:08.5,0.1,**,11-11,33.0-35.4,34.6,492(+2),,,キーダイヤ,230.0,,,,,,
2017102946,2021/06/12,1札幌1,晴,11.0,大倉山特別(2勝クラス),,16.0,3.0,5,5.6,1,8,横山和生,57,芝1200,良,**,1:09.3,0.7,**,16-10,33.5-35.1,34.1,490(0),,,ブラックダンサー,,,,,,,
2017102946,2021/05/22,2東京9,曇,10.0,高尾特別(2勝クラス),,7.0,3.0,3,5.6,3,5,木幡巧也,57,芝1400,良,**,1:21.8,0.3,**,4-4,35.6-34.3,34.2,490(-2),,,オパールシャルム,150.0,,,,,,
2017102946,2021/05/08,2東京5,晴,8.0,4歳以上2勝クラス,,12.0,1.0,1,2.7,1,6,三浦皇成,57,芝1400,良,**,1:21.2,0.4,**,6-5,34.7-34.6,34.5,492(0),,,キタイ,,,,,,,
2017102946,2021/02/06,1小倉7,晴,7.0,4歳以上1勝クラス,,18.0,8.0,18,1.8,1,1,藤田菜七,55,芝1200,良,**,1:08.8,0.0,**,10-9,33.2-35.6,34.6,492(+2),,,(グレイトゲイナー),760.0,,,,,,
2017102946,2021/01/23,1小倉3,雨,8.0,4歳以上1勝クラス,,16.0,7.0,14,3.0,1,2,藤田菜七,54,芝1200,稍,**,1:08.9,0.1,**,13-14,32.8-36.0,35.0,490(-2),,,ロジーナ,300.0,,,,,,
2017102946,2020/10/24,4新潟5,雨,10.0,十日町特別(1勝クラス),,16.0,2.0,3,2.4,1,8,岩田望来,55,芝1400,重,**,1:24.6,1.0,**,2-2,34.6-37.0,37.9,492(+2),,,アングルティール,,,,,,,
2017102946,2020/09/27,4中山7,曇,8.0,3歳以上1勝クラス,,16.0,4.0,8,2.8,1,2,田辺裕信,55,芝1200,稍,**,1:09.3,0.1,**,14-9,33.6-35.6,34.5,490(+2),,,ドクターデューン,300.0,,,,,,
2017102946,2020/09/13,4中山2,曇,7.0,3歳以上1勝クラス,,16.0,7.0,13,4.2,1,4,田辺裕信,55,芝1600,良,**,1:35.1,0.1,**,8-7-7,35.0-36.1,35.2,488(+2),,,フォースオブウィル,110.0,,,,,,
2017102946,2020/05/02,2東京3,晴,6.0,3歳1勝クラス,,12.0,7.0,9,5.9,3,4,大野拓弥,56,芝1600,良,**,1:32.7,0.6,**,4-5,33.8-35.2,34.7,486(-6),,,ピーエムピンコ,110.0,,,,,,
2017102946,2020/03/07,2中山3,曇,7.0,3歳1勝クラス,,8.0,8.0,8,4.1,3,3,大野拓弥,56,芝1600,良,**,1:35.1,0.3,**,2-2-2,36.1-35.1,35.0,492(0),,,ルフトシュトローム,180.0,,,,,,
2017102946,2020/02/09,1東京4,晴,5.0,3歳未勝利,,16.0,3.0,6,2.2,1,1,大野拓弥,56,芝1600,良,**,1:35.1,-0.1,**,2-2,36.1-33.8,33.7,492(+2),,,(ツルネ),510.0,,,,,,
2017102946,2019/11/23,5東京7,雨,2.0,2歳未勝利,,18.0,8.0,18,2.4,1,2,ムーア,55,芝1600,不,**,1:38.7,0.0,**,2-2,36.1-36.1,36.0,490(+4),,,メリディアンローグ,200.0,,,,,,
2017102946,2019/11/03,5東京2,曇,4.0,2歳新馬,,12.0,4.0,4,4.1,2,2,福永祐一,55,芝1600,良,**,1:35.6,0.0,**,3-3,35.8-34.7,34.4,486(0),,,サトノフウジン,280.0,,,,,,
2017101943,2021/11/21,5東京6,曇,12.0,3歳以上2勝クラス,,18.0,5.0,9,449.9,18,17,宮崎北斗,55,芝1400,良,**,1:22.8,1.0,**,7-7,35.3-34.7,35.1,462(+10),,,ミスビアンカ,,,,,,,
2017101943,2021/10/30,5新潟7,晴,12.0,清津峡特別(2勝クラス),,16.0,8.0,16,115.1,14,8,亀田温心,55,芝1200,良,**,1:10.8,1.1,**,10-9,34.6-35.1,35.2,452(-4),,,オジョーノキセキ,,,,,,,
2017101943,2021/10/16,5新潟3,曇,12.0,飛翼特別(2勝クラス),,18.0,8.0,17,29.8,9,8,藤井勘一,55,芝1000,良,**,0:55.9,0.6,**,6,32.9-33.1,33.1,456(-8),,,クルークヴァール,,,,,,,
2017101943,2021/08/08,3新潟6,曇,9.0,驀進特別(2勝クラス),,18.0,3.0,5,71.8,11,15,Ｍ．デム,55,芝1000,良,**,0:56.2,1.8,**,14,31.9-32.7,33.5,464(-4),,,ジャスパージャック,,,,,,,
2017101943,2021/06/27,1札幌6,晴,12.0,HBC賞(2勝クラス),,16.0,5.0,9,76.0,14,12,国分恭介,52,芝1200,良,**,1:09.1,0.7,**,8-8,33.0-35.4,35.4,468(-2),,,キーダイヤ,,,,,,,
2017101943,2021/06/12,1札幌1,晴,11.0,大倉山特別(2勝クラス),,16.0,8.0,16,54.6,14,9,黛弘人,55,芝1200,良,**,1:09.5,0.9,**,5-6,33.5-35.1,35.3,470(+4),,,ブラックダンサー,,,,,,,
2017101943,2021/05/16,2新潟4,雨,9,4歳以上1勝クラス,,16,6,12,33.7,8,1,丹内祐次,55,芝1000,良,**,0:56.3,-0.2,**,4,33.4-33.8,33.6,466(+6),,,(リュッカ),760.0,,,,,,
2017101943,2021/04/10,1新潟1,晴,7,4歳以上1勝クラス,,15,4,6,224.5,15,7,丹内祐次,55,ダ1200,良,**,1:13.4,1.0,**,7-6,34.2-38.2,38.3,460(0),,,オパールシャルム,,,,,,,
2017101943,2021/02/27,2小倉5,曇,6.0,4歳以上1勝クラス,,18.0,8.0,18,80.3,17,18,小林凌大,52,芝1200,重,**,1:10.7,1.5,**,5-11,33.7-35.5,36.6,460(-2),,,ダノンシティ,,,,,,,
2017101943,2021/01/30,1小倉5,曇,7.0,4歳以上1勝クラス,,12.0,8.0,12,17.2,7,9,丹内祐次,54,芝1200,良,**,1:10.2,0.9,**,3-3,34.2-35.1,35.8,462(-8),,,グラウクス,,,,,,,
2017101943,2021/01/11,1中京4,晴,7.0,4歳以上1勝クラス,,16.0,7.0,13,271.9,16,15,富田暁,53,ダ1200,良,**,1:15.7,2.7,**,5-6,35.7-37.3,39.8,470(-6),,,ショウゲッコウ,,,,,,,
2017101943,2020/12/09,大井,曇,10.0,アーバンステージ師走,,15.0,6.0,11,45.7,9,14,丹内祐次,55,ダ1200,良,**,1:14.9,2.5,**,10-11,34.8-37.6,38.9,476(+22),,,オールスマート,,,,,,,
2017101943,2020/07/05,4阪神2,晴,8.0,3歳以上1勝クラス,,18.0,5.0,10,16.8,7,8,国分優作,52,芝1400,稍,**,1:23.5,0.9,**,5-6,34.1-36.4,36.9,454(-4),,,アンジュミニョン,,,,,,,
2017101943,2020/06/20,3阪神5,晴,4.0,3歳未勝利,,18.0,3.0,5,13.0,7,1,和田竜二,54,芝1400,稍,**,1:22.1,-0.1,**,1-1,34.2-36.4,36.4,458(-2),,,(ゴールドパラディン),510.0,,,,,,
2017101943,2020/05/23,3京都9,晴,3.0,3歳未勝利,,18.0,8.0,17,183.4,14,4,武藤雅,54,芝1400,良,**,1:22.1,0.7,**,1-1,34.3-35.7,36.4,460(-6),,,ダブルアンコール,77.0,,,,,,
2017101943,2020/03/25,名古屋,晴,10.0,名古屋CCオレンジ賞,,10.0,8.0,10,10.5,4,2,丸野勝虎,54,ダ1400,良,**,1:31.3,2.1,**,1-1-2,0.0-38.4,40.5,466(0),,,アメージングラン,12.9,,,,,,
2017101943,2020/01/25,1京都8,曇,2.0,3歳未勝利,,14.0,8.0,13,57.3,9,9,幸英明,54,ダ1200,重,**,1:13.2,1.0,**,10-9,35.1-37.1,36.9,466(+4),,,メイショウベッピン,,,,,,,
2017101943,2020/01/11,1京都3,晴,6.0,3歳新馬,,16.0,2.0,3,87.9,13,9,国分優作,54,芝1600,良,**,1:39.6,2.1,**,7-6,35.8-35.8,37.3,462(0),,,レイパパレ,,,,,,,
2018101559,2022/03/20,2中山7,晴,10.0,千葉S(OP),,16.0,3.0,6,8.2,5,4,岩田望来,52,ダ1200,重,**,1:10.2,0.2,**,8-6,33.7-36.3,35.9,494(-8),,,スマートダンディー,330.0,,,,,,
2018101559,2022/01/08,1中京2,晴,11.0,すばるS(L),,16.0,4.0,8,15.5,7,11,武豊,53,ダ1400,良,**,1:24.9,1.1,**,7-10,34.0-37.8,38.4,502(0),,,ピンシャン,,,,,,,
2018101559,2021/12/04,6阪神1,曇,10.0,妙見山S(3勝クラス),,16.0,3.0,5,2.8,1,1,岩田望来,54,ダ1200,良,**,1:11.4,-0.3,**,7-6,34.5-36.9,36.0,502(+8),,,(スペクタクル),1855.7,,,,,,
2018101559,2021/11/06,5阪神1,晴,10.0,安芸S(3勝クラス),,15.0,2.0,3,5.0,2,2,岩田望来,53,ダ1200,良,**,1:11.4,0.4,**,6-7,34.4-36.6,36.0,494(+2),,,ミスズグランドオー,741.4,,,,,,
2018101559,2021/08/15,2札幌2,曇,9.0,3歳以上2勝クラス,,12.0,1.0,1,13.1,6,1,団野大成,52,ダ1000,良,**,0:58.0,-0.9,**,7-6,34.3-35.2,34.3,492(+4),,,(カイアワセ),1100.0,,,,,,
2018101559,2021/07/11,1函館4,曇,12.0,函館道新スポーツ杯(2勝クラス),,13.0,5.0,6,13.2,9,13,池添謙一,52,芝1200,稍,**,1:11.1,1.8,**,3-4,34.0-35.3,36.8,488(-2),,,ゴールドチャリス,,,,,,,
2018101559,2021/06/12,1札幌1,晴,11.0,大倉山特別(2勝クラス),,16.0,2.0,3,9.4,7,10,鮫島克駿,52,芝1200,良,**,1:09.5,0.9,**,3-4,33.5-35.1,35.7,490(-2),,,ブラックダンサー,,,,,,,
2018101559,2021/05/02,2阪神12,晴,10.0,端午S(OP),,16.0,3.0,5,78.0,11,10,鮫島克駿,54,ダ1400,稍,**,1:25.8,2.3,**,4-4,33.5-38.3,40.0,492(+2),,,ルーチェドーロ,,,,,,,
2018101559,2021/03/13,2中京1,曇,10.0,昇竜S(OP),,13.0,8.0,13,12.2,6,12,太宰啓介,54,ダ1400,不,**,1:26.4,2.8,**,4-4,34.0-37.9,40.5,490(-8),,,カレンロマチェンコ,,,,,,,
2018101559,2021/02/21,1東京8,晴,9.0,ヒヤシンスS(L),,12.0,3.0,3,49.4,8,9,鮫島克駿,54,ダ1600,良,**,1:38.0,1.2,**,6-7,35.9-36.0,36.6,498(-1),,,ラペルーズ,,,,,,,
2018101559,2020/12/02,園田,晴,11.0,兵庫ジュニアグランプ(G2),,11.0,6.0,7,2.4,2,3,岩田康誠,54,ダ1400,良,**,1:27.7,0.8,**,2-2-2-2,0.0-37.7,38.3,499(-1),,,デュアリスト,350.0,,,,,,
2018101559,2020/10/25,4京都6,晴,8.0,なでしこ賞(1勝クラス),,10.0,4.0,4,10.3,5,1,岩田康誠,54,ダ1400,稍,**,1:23.3,-0.9,**,1-1,35.3-35.9,35.9,500(0),,,(ミスズグランドオー),1033.1,,,,,,
2018101559,2020/09/19,2中京3,晴,1.0,2歳未勝利,,16.0,8.0,16,4.3,2,1,岩田康誠,54,ダ1400,良,**,1:25.2,-0.7,**,2-2,34.8-38.2,38.2,500(+8),,,(タイセイエクセル),510.0,,,,,,
2018101559,2020/07/12,4阪神4,晴,6.0,2歳新馬,,13.0,4.0,4,4.6,3,5,鮫島克駿,54,ダ1400,稍,**,1:28.1,2.2,**,1-1,34.4-39.0,41.2,492(0),,,テイエムマジック,70.0,,,,,,
2017105060,2022/02/19,2小倉3,雨,11.0,大濠特別(2勝クラス),,18.0,3.0,6,23.3,9,16,吉田隼人,55,芝1200,重,**,1:11.4,1.4,**,4-7,34.0-36.0,36.9,480(+8),,,ヴィズサクセス,,,,,,,
2017105060,2021/12/04,5中山1,晴,12.0,3歳以上2勝クラス,,16.0,1.0,1,49.1,10,9,鮫島克駿,55,芝1200,良,**,1:08.6,0.8,**,12-13,33.3-34.5,34.0,472(-4),,,ゼログラヴィティ,,,,,,,
2017105060,2021/09/04,2札幌7,晴,10.0,札幌スポニチ賞(2勝クラス),,16.0,7.0,14,39.9,8,16,小沢大仁,55,芝1200,良,**,1:10.9,1.9,**,7-10,34.3-34.7,36.1,476(-2),,,ジュビリーヘッド,,,,,,,
2017105060,2021/08/22,2札幌4,小雨,12.0,手稲山特別(2勝クラス),,16.0,3.0,5,15.8,6,4,団野大成,55,芝1200,良,**,1:09.5,0.5,**,3-3,34.3-34.7,34.8,478(0),,,スイートクラウン,230.0,,,,,,
2017105060,2021/06/27,1札幌6,晴,12.0,HBC賞(2勝クラス),,16.0,3.0,5,11.3,5,8,吉田隼人,53,芝1200,良,**,1:08.9,0.5,**,4-3,33.0-35.4,35.5,478(0),,,キーダイヤ,,,,,,,
2017105060,2021/06/12,1札幌1,晴,11.0,大倉山特別(2勝クラス),,16.0,6.0,12,6.3,3,11,武豊,55,芝1200,良,**,1:09.5,0.9,**,8-8,33.5-35.1,35.1,478(-8),,,ブラックダンサー,,,,,,,
2017105060,2021/04/17,3中山7,曇,8.0,4歳以上2勝クラス,,16.0,4.0,7,6.6,3,7,Ｍ．デム,55,ダ1200,稍,**,1:12.2,0.7,**,6-6,34.5-37.0,37.1,486(+4),,,ラフィンクロンヌ,,,,,,,
2017105060,2021/01/30,1小倉5,晴,12.0,有田特別(2勝クラス),,14.0,7.0,12,5.6,2,6,吉田隼人,54,ダ1000,稍,**,0:58.4,0.6,**,3-3,33.8-35.2,35.6,482(0),,,ポートナイトサイト,,,,,,,
2017105060,2020/08/23,2札幌4,晴,12.0,手稲山特別(2勝クラス),,15.0,8.0,14,3.4,1,4,吉田隼人,52,芝1200,良,**,1:09.4,0.6,**,5-4,33.6-35.2,35.3,482(+4),,,メイショウミモザ,230.0,,,,,,
2017105060,2020/07/26,1札幌2,晴,10.0,知床特別(2勝クラス),,13.0,4.0,5,8.7,7,2,吉田隼人,52,芝1200,良,**,1:08.3,0.0,**,8-8,34.0-34.3,33.7,478(-10),,,ニシノドレッシー,608.4,,,,,,
2017105060,2020/07/11,2函館3,小雨,8.0,3歳以上1勝クラス,,11.0,6.0,7,7.4,4,1,吉田隼人,52,芝1200,良,**,1:09.5,0.0,**,2-2,33.7-35.8,35.7,488(+16),,,(ファンシャン),760.0,,,,,,
2017105060,2020/03/21,1阪神8,晴,7.0,3歳1勝クラス,,15.0,3.0,5,15.8,6,6,浜中俊,54,ダ1400,良,**,1:27.1,1.2,**,2-3,35.2-38.1,39.1,472(-4),,,ウルトラマリン,,,,,,,
2017105060,2020/01/25,1京都8,晴,7.0,3歳1勝クラス,,11.0,5.0,5,4.9,3,6,ルメール,54,ダ1400,重,**,1:25.8,1.6,**,2-1,34.5-37.4,38.9,476(-10),,,ヘルシャフト,,,,,,,
2017105060,2020/01/13,1京都5,晴,6.0,3歳1勝クラス,,12.0,8.0,13,5.3,3,3,武豊,54,ダ1400,稍,**,1:27.2,0.1,**,6-6,35.3-39.3,38.7,486(0),,,ソングオブザハート,180.0,,,,,,
2017105060,2019/09/29,4中山9,曇,4.0,2歳新馬,,16.0,8.0,16,2.0,1,1,ルメール,54,ダ1200,良,**,1:12.7,-0.4,**,3-3,35.3-37.4,37.2,486(0),,,(レイテントロアー),700.0,,,,,,
2015104546,2021/08/28,2札幌5,晴,10.0,摩周湖特別(2勝クラス),,14.0,1.0,1,55.1,11,13,小沢大仁,52,芝1200,良,**,1:10.8,1.1,**,3-4,34.7-35.0,35.7,444(+2),,,ミニオンペール,,,,,,,
2015104546,2021/08/22,2札幌4,小雨,12.0,手稲山特別(2勝クラス),,16.0,4.0,7,71.6,12,15,藤岡佑介,55,芝1200,良,**,1:10.7,1.7,**,15-15,34.3-34.7,34.8,442(-8),,,スイートクラウン,,,,,,,
2015104546,2021/07/18,1函館6,晴,12.0,湯の川温泉特別(2勝クラス),,13.0,4.0,4,25.1,8,10,藤岡佑介,55,芝1200,良,**,1:10.1,0.7,**,13-13,34.1-35.3,34.1,450(+4),,,フォイアーロート,,,,,,,
2015104546,2021/06/27,1札幌6,晴,12.0,HBC賞(2勝クラス),,16.0,4.0,7,76.9,16,5,藤岡佑介,52,芝1200,良,**,1:08.6,0.2,**,4-6,33.0-35.4,35.2,446(+6),,,キーダイヤ,150.0,,,,,,
2015104546,2021/06/12,1札幌1,晴,11.0,大倉山特別(2勝クラス),,16.0,8.0,15,35.9,12,12,藤岡佑介,55,芝1200,良,**,1:09.7,1.1,**,10-10,33.5-35.1,35.1,440(-4),,,ブラックダンサー,,,,,,,
2015104546,2021/03/21,2中京4,小雨,12.0,豊橋特別(2勝クラス),,15.0,8.0,14,170.9,15,15,荻野極,55,芝1400,不,**,1:26.5,3.2,**,5-6,34.5-37.1,39.5,444(-4),,,ビオグラフィー,,,,,,,
2015104546,2021/02/20,2小倉3,晴,12.0,紫川特別(2勝クラス),,18.0,3.0,5,61.3,13,13,荻野極,55,芝1200,良,**,1:08.6,0.6,**,3-3,33.3-34.7,35.0,448(-6),,,ボンボヤージ,,,,,,,
2015104546,2020/12/06,3中京2,晴,10.0,中京日経賞(2勝クラス),,18.0,5.0,9,68.5,13,11,藤岡佑介,55,芝1200,良,**,1:08.7,0.6,**,2-2,33.9-34.2,34.6,454(+8),,,デルマカトリーナ,,,,,,,
2015104546,2020/08/23,2札幌4,晴,12.0,手稲山特別(2勝クラス),,15.0,7.0,13,13.7,6,7,藤岡佑介,55,芝1200,良,**,1:09.5,0.7,**,7-8,33.6-35.2,35.2,446(0),,,メイショウミモザ,,,,,,,
2015104546,2020/08/09,1札幌6,晴,12.0,3歳以上1勝クラス,,16.0,5.0,9,2.4,1,1,藤岡佑介,55,芝1200,良,**,1:08.9,0.0,**,3-3,34.1-34.8,34.7,446(+4),,,(イリスファルコン),760.0,,,,,,
2015104546,2020/07/25,1札幌1,曇,12.0,3歳以上1勝クラス,,13.0,1.0,1,5.2,2,2,藤岡佑介,55,芝1200,良,**,1:09.1,0.3,**,1-1,33.9-34.9,35.2,442(0),,,ファーストフォリオ,300.0,,,,,,
2015104546,2020/07/12,2函館4,晴,8.0,3歳以上1勝クラス,,11.0,8.0,11,6.2,4,3,荻野琢真,55,芝1200,良,**,1:09.4,0.5,**,7-4,34.2-34.7,34.6,442(-4),,,ミニオンペール,190.0,,,,,,
2015104546,2020/07/05,2函館2,曇,9.0,3歳以上1勝クラス,,12.0,7.0,10,33.1,10,2,荻野琢真,55,芝1200,良,**,1:09.5,0.0,**,7-6,33.4-36.1,35.1,446(0),,,タイセイブランシュ,300.0,,,,,,
2015104546,2020/04/12,1福島2,晴,8.0,4歳以上1勝クラス,,16.0,4.0,7,16.5,6,15,菅原明良,53,芝1200,良,**,1:10.5,0.7,**,4-4,33.7-36.1,36.5,446(+6),,,クリノイダテン,,,,,,,
2015104546,2019/12/08,4中京4,晴,9.0,3歳以上1勝クラス,,18.0,8.0,17,74.7,14,11,荻野極,55,芝1400,良,**,1:21.6,0.7,**,14-15,34.3-35.1,34.4,440(-4),,,ブルスクーロ,,,,,,,
2015104546,2019/07/20,2函館5,晴,9.0,3歳以上1勝クラス,,16.0,3.0,6,26.0,10,5,荻野極,55,芝1200,良,**,1:09.3,0.6,**,13-12,33.3-35.4,34.9,444(+4),,,ショウナンアリアナ,75.0,,,,,,
2015104546,2019/07/07,2函館2,曇,7,3歳以上1勝クラス,,15,3,5,24.9,9,7,荻野極,55,芝1200,良,**,1:09.6,0.3,**,10-10,33.9-35.4,34.7,440(+2),,,ハイヤーアプシス,,,,,,,
2015104546,2019/06/23,1函館4,曇,9,3歳以上1勝クラス,,16,2,3,27.9,10,6,藤岡佑介,55,芝1200,稍,**,1:09.6,0.4,**,14-14,33.3-35.9,34.9,438(-2),,,アスタールビー,,,,,,,
2015104546,2019/06/15,1函館1,曇,12.0,遊楽部特別(1勝クラス),,8.0,5.0,5,12.0,5,7,荻野極,55,芝1800,良,**,1:49.1,0.8,**,1-1-1-2,36.8-35.6,36.4,440(-2),,,サクラユニヴァース,,,,,,,
2015104546,2019/04/14,1福島4,晴,10.0,医王寺特別(500万下),,16.0,5.0,9,30.8,11,9,岩田望来,55,芝1200,良,**,1:10.3,0.8,**,2-2,34.1-35.4,36.1,442(-6),,,グッドジュエリー,,,,,,,
2015104546,2018/12/08,4中京3,晴,8.0,3歳以上500万下,,16.0,3.0,5,48.9,11,9,荻野極,53,ダ1400,良,**,1:26.9,1.9,**,1-2,34.5-37.9,39.8,448(+12),,,サンシャーロット,,,,,,,
2015104546,2018/07/08,3中京4,晴,7.0,3歳以上500万下,,16.0,8.0,15,18.4,6,14,武藤雅,51,ダ1400,不,**,1:24.8,2.7,**,7-8,33.6-37.1,38.9,436(0),,,マコトモンジョワ,,,,,,,
2015104546,2018/04/28,3京都3,晴,1.0,3歳未勝利,,16.0,2.0,4,4.9,2,1,松若風馬,54,ダ1400,良,**,1:25.6,0.0,**,1-1,35.5-37.7,37.7,436(+6),,,(エイシンネメシス),500.0,,,,,,
2015104546,2017/11/25,5京都7,晴,3.0,2歳未勝利,,18.0,2.0,3,8.8,4,6,福永祐一,54,芝1400,良,**,1:23.2,0.4,**,8-8,35.4-35.7,35.6,430(+2),,,マリアバローズ,,,,,,,
2015104546,2017/11/12,5京都4,晴,3.0,2歳未勝利,,15.0,6.0,11,13.8,5,4,福永祐一,54,芝1400,良,**,1:23.4,0.3,**,5-5,35.8-35.0,34.9,428(0),,,グリエルマ,75.0,,,,,,
2015104546,2017/08/05,2新潟3,晴,5.0,2歳新馬,,12.0,6.0,7,5.3,3,5,戸崎圭太,54,芝1600,良,**,1:38.8,0.6,**,6-4,38.8-32.8,33.2,428(0),,,ウラヌスチャーム,70.0,,,,,,
2017106131,2021/12/28,6阪神9,晴,12.0,2021ファイナルS(3勝クラス),,16.0,3.0,5,26.9,10,14,斎藤新,52,芝1200,良,**,1:09.0,1.0,**,4-4,33.2-34.8,35.1,452(+2),,,ローレルアイリス,,,,,,,
