日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
2018101134,2021/11/19,名古屋,晴,11,王滝渓谷特別,,11,2,2,4.4,2,5,加藤聡一,54,ダ1400,良,**,1:31.6,1.5,**,5-5-4,0.0-39.2,40.1,420(+7),,,ゲットオン,3.6,,,,,,,,,,,,
2018101134,2021/11/04,名古屋,晴,5,C11組,,10,6,6,1.2,1,1,加藤聡一,54,ダ1400,良,**,1:31.3,-1.5,**,1-1-1,0.0-38.8,38.8,413(+13),,,(デュエットカラー),32.0,,,,,,,,,,,,
2018101134,2021/09/05,2札幌8,晴,3,3歳未勝利,,14,3,4,16.7,6,6,小沢大仁,51,ダ1700,稍,**,1:47.2,2.0,**,2-2-2-2,30.5-37.6,39.4,400(+4),,,イシュタル,,,,,,,,,,,,,
2018101134,2021/08/22,2札幌4,晴,3,3歳未勝利,,14,8,14,25.2,9,3,小沢大仁,51,ダ1700,良,**,1:47.7,0.4,**,3-3-2-2,30.2-39.1,39.3,396(-2),,,ゲットアップ,130.0,,,,,,,,,,,,
2018101134,2021/07/24,1函館7,曇,4,3歳未勝利,,16,5,10,14.9,6,7,泉谷楓真,53,芝1200,良,**,1:10.1,0.9,**,7-10,33.8-35.4,35.4,398(-4),,,センショウライツ,,,,,,,,,,,,,
2018101134,2021/06/27,1札幌6,晴,1,3歳未勝利,,16,6,12,7.5,4,6,大野拓弥,54,芝1200,良,**,1:09.1,0.7,**,9-9,33.5-34.9,34.9,402(+8),,,クレマチステソーロ,,,,,,,,,,,,,
2018101134,2021/06/12,1札幌1,小雨,1,3歳未勝利,,16,7,14,124.7,14,3,大野拓弥,54,芝1200,良,**,1:08.9,0.2,**,11-10,33.8-34.9,34.0,394(+2),,,ディーバサンライズ,130.0,,,,,,,,,,,,
2018101134,2021/03/13,2中京1,雨,3,3歳未勝利,,18,8,17,16.1,5,10,浜中俊,54,芝1400,不,**,1:27.2,1.7,**,4-6,35.1-38.1,39.3,392(-2),,,エレボアブランシュ,,,,,,,,,,,,,
2018101134,2020/11/08,5阪神2,晴,2,2歳未勝利,,12,8,12,14.2,4,8,和田竜二,54,芝1600,良,**,1:35.3,1.3,**,2-2,35.5-34.2,35.5,394(-6),,,シャーレイポピー,,,,,,,,,,,,,
2018101134,2020/10/11,4京都2,晴,2,2歳未勝利,,10,6,6,68.9,5,2,和田竜二,54,芝1600,稍,**,1:36.6,0.2,**,8-7,34.9-36.4,36.0,400(-4),,,カスティーリャ,200.0,,,,,,,,,,,,
2018101134,2020/07/11,2函館3,曇,5,2歳新馬,,13,3,3,58.0,8,10,国分恭介,54,芝1200,良,**,1:11.6,1.4,**,1-1,34.1-36.1,37.5,404(0),,,カイザーノヴァ,,,,,,,,,,,,,
2018102791,2022/02/12,2小倉1,晴,12,4歳以上1勝クラス,,18,3,6,19.6,6,6,横山和生,55,芝1200,良,**,1:08.4,0.3,**,1-1,33.5-34.6,34.9,468(-4),,,アスクキングコング,,,,,,,,,,,,,
